,user,song,play_count,total_play_count,fractional_play_count
32505,5fb2630c42e4a08f4f5456306d547a1de3c60100,SOXACZF12A6D4FB153,46,152,0.3026315789473684
6390,e3d45fa4071c85b044191cabf0284e74c744a037,SOIMCDE12A6D4F8383,2,304,0.006578947368421052
26676,003a5e3285141b1a54edbc51fbfa1cc922023aae,SOQTPLM12B0B809575,7,655,0.010687022900763359
34845,d0a2c5ac5ce1bc3573224d910fe3adfb85d4ee3f,SOMNGMO12A6702187E,1,472,0.00211864406779661
21568,b8eb72ac5c082e6953254f628978468dc8fa0c94,SOYUDDS12A6D4F7BD6,2,102,0.0196078431372549
18849,1a3cebe4f11f71abf431387fb5854423052e93db,SOUUZPU12A6701FB90,6,1345,0.0044609665427509295
7866,26d74cbc4f61ec6078ebcb70d029304cc7b8bc98,SOBOUPA12A6D4F81F1,1,429,0.002331002331002331
19292,726da71c2c2ea119119a7957517fccd028d1be76,SOUKTVI12A8C13BF74,2,404,0.0049504950495049506
31897,0d54fad06b250c41865f6af5b8d35dd5c5750c75,SOKLRPJ12A8C13C3FE,20,666,0.03003003003003003
24148,2a3d80f37b92fa113d4f4b0785d797153cca5f63,SOXQROF12AB0186B1D,5,397,0.012594458438287154
7621,8c8478dbb04dd12e77e215ee8a65c5c9163afec2,SOTVJEN12A8C13B064,27,429,0.06293706293706294
13207,c9f6fe7decdc7ca98d226717b4e3d660253c224f,SOXHIDK12A58A7CFB3,17,323,0.05263157894736842
18915,7c613c77527fc728438c365fdb233769404c3424,SORJVDO12AF72A1970,11,363,0.030303030303030304
8320,189f3d247c01e8319458d82ed68cbaf3112fe9fb,SOIBLKQ12AB0183E85,1,1060,0.0009433962264150943
6664,eaa2b3c9e086a662ab15e10ca6211a3207f40a50,SOYSADG12A8AE47F2C,1,792,0.0012626262626262627
27604,bedad07238f60df86cb77b2d4ef1441c8f0b3a3b,SOPPROJ12AB0184E18,4,281,0.014234875444839857
13971,40518f9fa3258e81af0c8d5b0ebee81bb36a4251,SONTQUO12A6D4F7D8B,78,408,0.19117647058823528
16535,062eef2a03b53d2b10f5018135e3361659c6a3bf,SOWKVVW12A8AE45E8C,4,208,0.019230769230769232
23432,b7032f457c624e23113c39b2f9c444a961c3fdf8,SOPZVSB12A8C13E2EF,3,550,0.005454545454545455
13161,c9f6fe7decdc7ca98d226717b4e3d660253c224f,SOKUTUM12A6701D9CD,3,323,0.009287925696594427
33105,fb644c3f2a83114325dc67b97df0bce60b5ac9a1,SOXTBGF12A6D4FB49C,6,641,0.0093603744149766
31938,a403e8052c47447959193e549dc6b609e6724466,SOEGIYH12A6D4FC0E3,5,212,0.02358490566037736
9216,bd158e566db8d5879124cf177d2ee91e80362075,SOVRTPN12AB0184F9E,3,395,0.007594936708860759
23451,b7032f457c624e23113c39b2f9c444a961c3fdf8,SOSYOHI12A8C144584,2,550,0.0036363636363636364
18224,a2679496cd0af9779a92a13ff7c6af5c81ea8c7b,SOOGBWC12A8C140B96,19,3985,0.004767879548306148
22372,fc77d71ecc8a4c7f4a0402fbe9118973124391fe,SOTKYBW12A8C13C3EA,10,387,0.025839793281653745
28728,c1255748c06ee3f6440c51c439446886c7807095,SOYMIMI12AB0181E5C,1,1291,0.000774593338497289
603,b048f21afd5e7467f187bf9f9d413e97c32313a9,SOTRQEJ12AF72A45D7,5,276,0.018115942028985508
13159,c9f6fe7decdc7ca98d226717b4e3d660253c224f,SOJSTYO12A8C13F200,1,323,0.0030959752321981426
32392,974a05be3d2385f40af4e6e610be59544657085e,SOPSYOY12A8C142E0B,1,326,0.003067484662576687
37496,491d048e26c51fcda0744355bf191d4ccf36f118,SOVRZIX12AAF3B2A32,2,191,0.010471204188481676
31070,480f3a551bbcdb53f8eb28e44614aa7ce0cc8d0e,SOKOXWU12AF72AD1BC,2,377,0.005305039787798408
6727,1a6916b63039c3c56c62de345c284c11a075eb96,SOKMHKY12AF72AB079,9,655,0.013740458015267175
33288,956dc1095d8f22575d3936191ce20b789b0ffc4d,SOPXLWJ12A8C132639,2,172,0.011627906976744186
30195,9784566a61c79b18b5d72584f3cc95ea134d14de,SORVLRC12A8151E078,8,183,0.04371584699453552
30778,b7c24f770be6b802805ac0e2106624a517643c17,SOSZJFV12AB01878CB,7,2040,0.003431372549019608
10793,4468ce74671606114d8fe94ebbd928b9e925d049,SOXERNH12A67AD8642,2,573,0.0034904013961605585
5910,3a6553c25f5dce3dbbbedc429496d40bf913e354,SOXIIIM12A6D4F66C8,2,124,0.016129032258064516
32636,c7417a59a6d67ef869bf970671b5246c4e3e16d6,SOMGIYR12AB0187973,16,1519,0.01053324555628703
19661,55874081c91a71d9f7a13cd9e9f1538e23874370,SOMGVYU12A8C1314FF,18,1445,0.01245674740484429
34801,174b880b7340e2921b281493cfc6337bb7d99579,SOXDHVL12A6D4FBBE7,134,182,0.7362637362637363
30996,e851e806941435c6d5748bd64c1c55e5c0551ab1,SODCNJX12A6D4F93CB,22,143,0.15384615384615385
19218,9b06094a34c6c421b86df33c879b8980d1038cd8,SOYONCL12A8C13B9F7,6,494,0.012145748987854251
7156,8cb51abc6bf8ea29341cb070fe1e1af5e4c3ffcc,SOOKGRB12A8C13CD66,2,323,0.006191950464396285
458,283882c3d18ff2ad0e17124002ec02b847d06e9a,SOKUECJ12A6D4F6129,26,903,0.028792912513842746
25997,3325fe1d8da7b13dd42004ede8011ce3d7cd205d,SOKUTUM12A6701D9CD,61,1732,0.03521939953810624
15166,736083bd7ecd162effb7668cab6c281945762e85,SOPFVER12AB0180FEF,3,387,0.007751937984496124
32126,a18aa09c5b8a1c03d03cdf6d8eb11c2bf5b907cd,SOULTKQ12AB018A183,1,807,0.0012391573729863693
3990,71dac99494dd7439a105d14f7597ae706b19c9ed,SOZSFWF12A6D4F93D5,2,394,0.005076142131979695
17301,6e0a8e9103ad7d68e63d350fbff3386c75613ab2,SOXQROF12AB0186B1D,2,686,0.0029154518950437317
31353,83b94f1d1bf5581499cc0738807c8c41f3bf6706,SOSYOHI12A8C144584,5,267,0.018726591760299626
7286,8cb51abc6bf8ea29341cb070fe1e1af5e4c3ffcc,SOYSADG12A8AE47F2C,2,323,0.006191950464396285
4566,c1912062175dc4b3ea5a3a0cdb963c704bb9c881,SOHTKMO12AB01843B0,28,1585,0.017665615141955835
4027,96f7b4f800cafef33eae71a6bc44f7139f63cd7a,SOOSDMO12A6D4F80F9,1,265,0.0037735849056603774
32332,eb75703cc9f9a33c4b1d2f7b3abf9a6be4c732aa,SOLRPJX12A58A79808,1,45,0.022222222222222223
19821,d66c5b1be56e90603867af719662c9ac2efeb9f0,SOTRSFZ12A8C142BF6,6,635,0.009448818897637795
29799,125878fa33947aaf4a8cdb1fb4843298f31a0ae0,SOWIMTL12A8C1386DC,1,378,0.0026455026455026454
23557,b80501c77662b97dcf29488faa7ff154a40c8ce6,SOUVUHC12A67020E3B,5,154,0.032467532467532464
12083,e1fb00119a9c156392a481c3cab6c732c9027cbe,SOOSJIV12AF729E09E,1,226,0.004424778761061947
16484,062eef2a03b53d2b10f5018135e3361659c6a3bf,SOMNXML12A6D4F8386,1,208,0.004807692307692308
17635,b21e1b6b14b7b3b8b8e683e82ede0e59ad64e9f7,SOOLULU12A6701FBC4,1,1903,0.0005254860746190226
22913,b85e70839fc5b7fd6efe8e152c9e20021157bea3,SOREBOB12A6D4F7986,1,608,0.001644736842105263
36073,4d98756ff69be79de228c15432245766d4bf0316,SOXAQJS12AB018CBF7,1,401,0.0024937655860349127
9902,4ae01afa8f2430ea0704d502bc7b57fb52164882,SOILFUU12AB017C75F,4,1386,0.002886002886002886
3599,fef771ab021c200187a419f5e55311390f850a50,SOYTDBL12A6D4F8148,1,186,0.005376344086021506
25064,47ea89d3c206dc77960177b663e3a21ae39d28a1,SOWAACZ12A8C135AC1,7,195,0.035897435897435895
34233,bd82eefb8f1ddc894b48ee2baca28c89ff70710d,SOFCPOU12A8C13BF40,12,276,0.043478260869565216
36026,aabbd8b9388076451e70846a86cd4c8cb426873f,SOXDPEP12AB0180E1E,2,16,0.125
1063,6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOOLPFK12A58A7BDE3,8,409,0.019559902200488997
35973,ec06a94669597cdc8d1360c6a906aa95333326e8,SORALYQ12A8151BA99,1,483,0.002070393374741201
23048,18c1dd917693fd929e3f99dd7906c2aafe9ff17f,SOTCDXR12A679D7E5E,1,1172,0.0008532423208191126
14928,22fff4185bb0de9ea6d28a471f388c3a072817c5,SOWYFFH12AAF3B4C65,1,35,0.02857142857142857
9112,e04a9e4861256079476c25d655d97c1c5603b3cd,SOQAJHW12AB0186004,12,419,0.028639618138424822
28622,c1255748c06ee3f6440c51c439446886c7807095,SOQNOAF12A8151AB86,3,1291,0.0023237800154918666
13353,40512c7d4dbe8126c88a794a8bc7bf094b401d64,SOWKGCO12AC4687E42,4,202,0.019801980198019802
4574,c1912062175dc4b3ea5a3a0cdb963c704bb9c881,SOIZLKI12A6D4F7B61,9,1585,0.0056782334384858045
29480,1272d32979a6ecd4f8b48cf25c9738c2298e0b4f,SOPXKYD12A6D4FA876,2,141,0.014184397163120567
35206,9bf0c40652e96b5178b552d2b296ec69b75a0b26,SOZPLKR12A6D4F8421,23,389,0.05912596401028278
2598,fe2d77de7e57f3b3eedcf473545110b13ca03426,SOLGPOU12A58A7EA20,46,919,0.05005440696409141
21790,138d73356c23e6e12aa82fb5dc9225428c196464,SOOGBWC12A8C140B96,2,361,0.00554016620498615
26078,14704dda3b07d77a3ec68db2252c7c713553fcc0,SOZAZZK12A6701F98D,3,228,0.013157894736842105
97,4e11f45d732f4861772b2906f81a7d384552ad12,SOWOMMY127F8096DF9,1,259,0.003861003861003861
33144,33e3fc88b0ab07f872bf7515413887374dd76ad6,SOVJJQI12A6D4F5910,24,73,0.3287671232876712
24796,2be94fe8976330172517c748780600f38ff55c2c,SOQFEDG12AB018DD24,3,1032,0.0029069767441860465
23026,18c1dd917693fd929e3f99dd7906c2aafe9ff17f,SOQQGBB12A6D4FCE33,6,1172,0.005119453924914676
26303,860fb8adde6bc5718f49cc995a8655be11c6536c,SOIZLKI12A6D4F7B61,1,268,0.0037313432835820895
25404,19e3b4d5aecb41ce9906d1587f565eac9c33ba35,SOXHIDK12A58A7CFB3,82,227,0.36123348017621143
36502,33a1286454a3cff06e3c2324be746d2e23d7c270,SOMDVSL12A6D4F7230,6,96,0.0625
19597,55874081c91a71d9f7a13cd9e9f1538e23874370,SOEBOWM12AB017F279,5,1445,0.0034602076124567475
7806,ddf7fe59709fb2341fa93c34910ae2b17a9a5930,SOWNIUS12A8C142815,1,713,0.001402524544179523
6337,f3825861e5575cf4206f883630754fa30c80721e,SOQGOPT12AAF3B2B27,5,84,0.05952380952380952
24208,0ab9d9f7925520801fffa8b63287d799cfe9a5a4,SOSQQGF12A6310F0FB,1,400,0.0025
23394,b7032f457c624e23113c39b2f9c444a961c3fdf8,SOHZPIK12A58A7CCAE,1,550,0.0018181818181818182
4229,bb279e21a433803eb4a3dc5d31d2fed80d06fc98,SOZOIUU12A67ADFA39,4,394,0.01015228426395939
13254,109eddbad1b4771c8a1a50899a5d1a91cfff69fa,SOPKPFW12A6D4F84BC,1,834,0.001199040767386091
3464,952130c8ae0527458c75471812dbb5c506b46d5d,SOWRMTT12A8C137064,4,307,0.013029315960912053
13738,aba3117aae6344fb8d28c711b87b2aa3f1c4be75,SOUSQCN12A8C133302,14,913,0.01533406352683461
22398,a2758cfd225f99b0494d98b3e7c65920345f95c8,SOKKKZW12A6D4F7F88,1,125,0.008
23423,b7032f457c624e23113c39b2f9c444a961c3fdf8,SOPAYPV12AB017DB0C,2,550,0.0036363636363636364
29502,1272d32979a6ecd4f8b48cf25c9738c2298e0b4f,SOUTGUB12AB017DC5B,3,141,0.02127659574468085
3701,25f83a09541073b1bde62e6e513cb938d3b148de,SOPREHY12AB01815F9,4,1334,0.0029985007496251873
28237,2b8bfcdc258cdfe9dce9991d67786b3cebbc3b22,SOYSADG12A8AE47F2C,8,789,0.010139416983523447
13658,a35cd4647f5eaf7fe9c79adfe8d9ec45b8bf3bd3,SOYABSZ12A81C1FEAC,1,531,0.0018832391713747645
36174,fbd1b7d1bf19158773820cb45639362347979926,SONQEYS12AF72AABC9,2,529,0.003780718336483932
27701,19546df993c6dd9eb73413e1d7687ae1bdfc9ad1,SOKUTUM12A6701D9CD,36,310,0.11612903225806452
26692,003a5e3285141b1a54edbc51fbfa1cc922023aae,SOVUBST12AB018C9A4,5,655,0.007633587786259542
16688,222542d2ce54e6949f9346d331dd8a028b044826,SOLRGNF12AB0187CF4,4,307,0.013029315960912053
31304,dbb235f944fe78ef8198950e64e4bbc2bdbef172,SOVUBST12AB018C9A4,1,160,0.00625
34658,fa5d9eddc010bc3fc71f8a42db15e5dd4f1c18a3,SOKEYJQ12A6D4F6132,1,832,0.001201923076923077
22406,a2758cfd225f99b0494d98b3e7c65920345f95c8,SOPABZM12A6D4FC668,2,125,0.016
16985,e740128a5500e4935a4ded8c736599f1e14b8406,SOOYDAZ12A58A7AE08,10,273,0.03663003663003663
35,4e11f45d732f4861772b2906f81a7d384552ad12,SOQFEDG12AB018DD24,1,259,0.003861003861003861
19115,3379f558a480a79694e02d7f5b079f9a647896b6,SOUOEMP12A8C13866E,11,1040,0.010576923076923078
18829,1a3cebe4f11f71abf431387fb5854423052e93db,SOGPBAW12A6D4F9F22,1,1345,0.0007434944237918215
36441,f629b337d01f254e0d685ccc66ec2fd5ddba78d9,SOWOAXK12A6310D81F,1,258,0.003875968992248062
30791,b7c24f770be6b802805ac0e2106624a517643c17,SOTWSXL12A8C143349,8,2040,0.00392156862745098
6832,9c6ebf1d5ba38bcb577149b22e19448f655f6252,SOLWHSJ12A67AE227B,42,852,0.04929577464788732
26211,fba8ff1f9dd32aa35f3e13960a008fec773e2903,SODLLYS12A8C13A96B,19,350,0.054285714285714284
9519,113255a012b2affeab62607563d03fbdf31b08e7,SOWDKXZ12A81C22377,1,626,0.001597444089456869
10556,49b142551f26ec13c3376b1d5601eff26649927c,SOUKXIN12A8C133C7F,3,311,0.00964630225080386
6142,2b77760cb7cf72d64dd6d5bdf8a5c195a044a9b3,SOKUECJ12A6D4F6129,2,429,0.004662004662004662
20657,787520b7886d0044cef96c4582890d05f762f76d,SOSCIZP12AB0181D2F,1,313,0.003194888178913738
31715,90d2fcb1dbe47dc1e9442587e259811a0437a13f,SOPTLQL12AB018D56F,4,503,0.007952286282306162
10215,b0a3d755fe4a6549e241676b0a388e9410749c05,SOIDDNJ12AC9071B90,3,1076,0.0027881040892193307
25661,25f202e6e02803d3e2f19fea3f88293e24483196,SOVEUVC12A6310EAF1,17,347,0.04899135446685879
217,13ce57b3a25ef63fa614335fd838e8024c42ec17,SOYCXUA12A8C133713,2,61,0.03278688524590164
30852,b7c24f770be6b802805ac0e2106624a517643c17,SOXPDDQ12A58A76829,1,2040,0.0004901960784313725
16275,934438129c278fe6bb3de6a3275dba13891674ab,SOUDGEV12A8C135FC9,19,861,0.022067363530778164
16888,80f383bf5f6581572f6ccac661727956df49f7df,SOWDRRZ12A8C13AE89,8,435,0.01839080459770115
37099,80ae8f21a060a7fdb7b5d4bb3d5f3021e624e19c,SOXHYVQ12AB0187949,1,28,0.03571428571428571
436,9acce6b22c8ae6adbd9e0933fb0a374b149e8e88,SOPPROJ12AB0184E18,8,83,0.0963855421686747
8137,6a3ec54b60e6a2d13a074046751f9364319c546c,SOLTIVF12AAFF43797,4,777,0.005148005148005148
27077,e15e7c10cfd3ffc6e2b2673dcd0981b83c1ff4ae,SOZTCOW12A8C134269,1,91,0.01098901098901099
28794,4ea4ef23853df11d4321bc458471a7b42aeb54cf,SONQCXC12A6D4F6A37,1,667,0.0014992503748125937
1616,dc02d3c4fb534ca1406f720c70678e5858a5ca0a,SOPSOHT12A67AE0235,1,971,0.0010298661174047373
18903,7c613c77527fc728438c365fdb233769404c3424,SOAXGDH12A8C13F8A1,16,363,0.0440771349862259
10525,49b142551f26ec13c3376b1d5601eff26649927c,SONQBUB12A6D4F8ED0,9,311,0.028938906752411574
15102,56092216da5aa5238c745459a32f8b0e25828501,SOWFIFP12A8C13A9EE,3,260,0.011538461538461539
6734,1a6916b63039c3c56c62de345c284c11a075eb96,SOMEUED12A6701DBEA,3,655,0.004580152671755725
36993,e6e0f68e948d7bcbf2ed9c4506a40a139a5e7bc7,SOPEOGA12AB017B694,1,681,0.0014684287812041115
23083,18c1dd917693fd929e3f99dd7906c2aafe9ff17f,SOVEUVC12A6310EAF1,1,1172,0.0008532423208191126
11187,8f8a2009d4376f3a3a47cc955b3cf89a6e1525c6,SOULTKQ12AB018A183,3,507,0.005917159763313609
2020,82cd7de99ecda208dcd18346892859f35daf0520,SOVRGXP12AB017D2B9,1,261,0.0038314176245210726
14607,91cf50e35e3fa924450d86ecae248b7cea113f0b,SOXLSBV12AB018397A,2,257,0.007782101167315175
5661,8ad6a386e7b601c0072c337ec6f86d084d1ba556,SOTWNDJ12A8C143984,1,226,0.004424778761061947
8339,189f3d247c01e8319458d82ed68cbaf3112fe9fb,SOKUTUM12A6701D9CD,4,1060,0.0037735849056603774
8292,189f3d247c01e8319458d82ed68cbaf3112fe9fb,SODGVGW12AC9075A8D,6,1060,0.005660377358490566
32953,13a2d690b099bcd3fdd256bd39aa14edadd5db08,SOUJVIT12A8C1451C1,1,658,0.001519756838905775
17466,ab792cde4fb868b3cf232791f173f7fd5e2ee83d,SOPWZGK12A67020744,11,411,0.0267639902676399
31574,421a43936c80f2232747bdcf340e2744fdf37aa6,SOWBYZF12A6D4F9424,2,1044,0.0019157088122605363
27854,ceac6b2713499c25cf217ec915063de66e26a586,SOLLDVS12AB0183835,4,398,0.010050251256281407
21361,dae08b6f200be684168b34d6aae3d518f4c5d142,SOVOKGC12A58A7DF6B,5,527,0.009487666034155597
19120,3379f558a480a79694e02d7f5b079f9a647896b6,SOVRTPN12AB0184F9E,3,1040,0.0028846153846153848
4713,c1912062175dc4b3ea5a3a0cdb963c704bb9c881,SOZKNSB12A8C140F11,1,1585,0.0006309148264984228
14690,625d0167edbc5df88e9fbebe3fcdd6b121a316bb,SOOLULU12A6701FBC4,1,597,0.0016750418760469012
22110,6326095256b355d4b4fa34771b7b524a1c4cc8f8,SOJTLHS12A8C13F633,24,931,0.02577873254564984
34378,99dedd05d478e3aa54b199f4432fcb9907456b34,SOVBRCP12A6701D7B5,9,498,0.018072289156626505
18546,bbb4be7912be85f7d1761e4ac80898e67d6488ee,SOSCIZP12AB0181D2F,1,250,0.004
37456,491d048e26c51fcda0744355bf191d4ccf36f118,SONMBPQ12A6D4F95A3,2,191,0.010471204188481676
30135,6b9ef666e3b10fd428530e519e1a3f68c2fbbd1a,SOTKMXA12A6D4F672F,4,354,0.011299435028248588
1311,6d625c6557df84b60d90426c0116138b617b9449,SOVYIYI12A8C138D88,1,1089,0.0009182736455463728
15281,c11dea7d1f4d227b98c5f2a79561bf76884fcf10,SOBOUPA12A6D4F81F1,1,58,0.017241379310344827
36677,7e543508a213f4f22e0cb54ecf2df9c370070a28,SOIIOUS12A8AE47E20,1,208,0.004807692307692308
29816,2b3e60309a89ea57df2f9ffe7dcb5871fcc8bc83,SOOSJIV12AF729E09E,1,153,0.006535947712418301
16778,3becbc727a8572453d170c909829fda9e6d00554,SOMCMKG12A8C1347BF,1,390,0.002564102564102564
11870,2a2f776cbac6df64d6cb505e7e834e01684673b6,SORKVID12A6D4FC6D2,1,233,0.004291845493562232
14974,7acf37b7dd44f5f0016cd9a6c38d3cb6655c6cbb,SOPIEIJ12A6D4F8F81,1,288,0.003472222222222222
30038,92d2e8ff105b7b7ddc163e740921cafdbcd815bf,SOSJRJP12A6D4F826F,1,113,0.008849557522123894
10214,b0a3d755fe4a6549e241676b0a388e9410749c05,SOIBLKQ12AB0183E85,3,1076,0.0027881040892193307
18128,b4c94d72b15d3c311c10045a58b31f95d9d12785,SOYOKCE12A58A79862,1,110,0.00909090909090909
13580,786a152a46afcd722fa2c8aa4c11b6858dcf57fc,SOZBDZN12A8C130C7B,19,400,0.0475
30729,b7c24f770be6b802805ac0e2106624a517643c17,SOPGCOH12A8C139789,9,2040,0.004411764705882353
937,1aa4fd215aadb160965110ed8a829745cde319eb,SOSLZXV12A8C1354C9,1,272,0.003676470588235294
10897,486c99dddf3555a2422a4e122b72f2ad0aed194c,SOQLFRX12A6D4F9200,21,337,0.06231454005934718
5884,3a6553c25f5dce3dbbbedc429496d40bf913e354,SOQWZAB12AB017C6F7,1,124,0.008064516129032258
16443,9cc55f495399d3f4ecb309c9eab9ce17250135c5,SOPKPFW12A6D4F84BC,1,269,0.0037174721189591076
15054,5ed1d17b8457236d4869e2bdc023bec260a4be5c,SORBBFV12AB017D710,4,146,0.0273972602739726
18579,dc61155e20289dcd089ac40181cb88f042404602,SONPLUD12A8C13BF4B,1,208,0.004807692307692308
28773,4ea4ef23853df11d4321bc458471a7b42aeb54cf,SOJGZXL12A6D4F2980,2,667,0.0029985007496251873
20638,787520b7886d0044cef96c4582890d05f762f76d,SOLRGVL12A8C143BC3,4,313,0.012779552715654952
28328,bb0c93f971ee41a7bdfedcd9aad701bfadfca5c8,SOMCMKG12A8C1347BF,1,1494,0.0006693440428380187
28700,c1255748c06ee3f6440c51c439446886c7807095,SOWKRRE12A6702073E,3,1291,0.0023237800154918666
33842,a05e548059abb1f77cad6cb9c3c0c48e0616f551,SOAUWYT12A81C206F1,1,81,0.012345679012345678
22298,838a765125d54e760c340f960ca3741c85123fa6,SOKNWRZ12A8C13BF62,32,591,0.05414551607445008
24126,2a3d80f37b92fa113d4f4b0785d797153cca5f63,SOUSZSW12AB01800C2,2,397,0.005037783375314861
30891,92227472de1d2ed14725adff31cfa56a3f29047b,SOJTLHS12A8C13F633,5,110,0.045454545454545456
656,04043d5716a2359f49f62d13c7c3d3e72b28f520,SOVGLTY12AF72A39CD,4,212,0.018867924528301886
27394,002b63a7e2247de6d62bc62f253474edc7dd044c,SOUSOKG12A58A7AC15,3,686,0.004373177842565598
2844,d8aace9308e530e0f1ef2a85258b62f8245be423,SORJICW12A8C13640D,1,419,0.002386634844868735
3372,952130c8ae0527458c75471812dbb5c506b46d5d,SOFLJQZ12A6D4FADA6,1,307,0.003257328990228013
36685,7e543508a213f4f22e0cb54ecf2df9c370070a28,SOMLYJD12A58A7B155,1,208,0.004807692307692308
35759,2c04736f4d7b0696d2a063b1e61069af38660a94,SOXMOQF12A6701FB8B,28,251,0.11155378486055777
27492,42ac141a65053a2ba02c5380ccf7975022e307a6,SORUFVF12AB018230B,4,378,0.010582010582010581
8843,1f91494ea547a8eb6168ba08735a667667c47e04,SOQJLWB12A6701E7B3,1,466,0.002145922746781116
27980,6d8d89c2073247e77fd23f8f53f9185a1b05c214,SOXPDDQ12A58A76829,6,163,0.03680981595092025
19232,726da71c2c2ea119119a7957517fccd028d1be76,SOKUECJ12A6D4F6129,2,404,0.0049504950495049506
26994,4dac0f02b38f49be89ade787020308053fa7f5b7,SOUBXSF12A6701D23C,5,96,0.052083333333333336
37460,491d048e26c51fcda0744355bf191d4ccf36f118,SOOTKWZ12AB0181082,1,191,0.005235602094240838
33317,956dc1095d8f22575d3936191ce20b789b0ffc4d,SOXKOIY12A8C13C1EA,2,172,0.011627906976744186
11221,ff7429bd2788349b026cf8f8a7a4b3f3971a310a,SOKUPAO12AB018D576,10,303,0.033003300330033
4843,79a1ba30cec2ee1509f3c2df697916fe901b37e9,SOCVTLJ12A6310F0FD,1,570,0.0017543859649122807
17773,b21e1b6b14b7b3b8b8e683e82ede0e59ad64e9f7,SOXAQJS12AB018CBF7,1,1903,0.0005254860746190226
